_time,Amount of Users Detected
2020-02-14T04:30:00.000+1100,7
2020-02-14T05:00:00.000+1100,8
2020-02-14T05:30:00.000+1100,9
2020-02-14T06:00:00.000+1100,146
2020-02-14T06:30:00.000+1100,26
2020-02-14T07:00:00.000+1100,18
2020-02-14T07:30:00.000+1100,41
2020-02-14T08:00:00.000+1100,97
2020-02-14T08:30:00.000+1100,105
2020-02-14T09:00:00.000+1100,207
2020-02-14T09:30:00.000+1100,211
2020-02-14T10:00:00.000+1100,232
2020-02-14T10:30:00.000+1100,174
2020-02-14T11:00:00.000+1100,218
2020-02-14T11:30:00.000+1100,212
2020-02-14T12:00:00.000+1100,278
2020-02-14T12:30:00.000+1100,264
2020-02-14T13:00:00.000+1100,209
2020-02-14T13:30:00.000+1100,189
2020-02-14T14:00:00.000+1100,170
2020-02-14T14:30:00.000+1100,187
2020-02-14T15:00:00.000+1100,124
2020-02-14T15:30:00.000+1100,54
2020-02-14T16:00:00.000+1100,75
2020-02-14T16:30:00.000+1100,63
2020-02-14T17:00:00.000+1100,55
2020-02-14T17:30:00.000+1100,43
2020-02-14T18:00:00.000+1100,24
2020-02-14T18:30:00.000+1100,14
2020-02-14T19:00:00.000+1100,10
2020-02-14T19:30:00.000+1100,8
2020-02-14T20:00:00.000+1100,10
2020-02-14T20:30:00.000+1100,22
2020-02-14T21:00:00.000+1100,6
2020-02-14T21:30:00.000+1100,6
2020-02-14T22:00:00.000+1100,6
2020-02-14T22:30:00.000+1100,8
2020-02-14T23:00:00.000+1100,5
2020-02-14T23:30:00.000+1100,5
2020-02-15T00:00:00.000+1100,19
2020-02-15T00:30:00.000+1100,33
2020-02-15T01:00:00.000+1100,46
2020-02-15T01:30:00.000+1100,5
2020-02-15T02:00:00.000+1100,13
2020-02-15T02:30:00.000+1100,11
2020-02-15T03:00:00.000+1100,4
2020-02-15T03:30:00.000+1100,4
2020-02-15T04:00:00.000+1100,39
2020-02-15T04:30:00.000+1100,8
2020-02-15T05:00:00.000+1100,2
2020-02-15T05:30:00.000+1100,2
2020-02-15T06:00:00.000+1100,15
2020-02-15T06:30:00.000+1100,12
2020-02-15T07:00:00.000+1100,23
2020-02-15T07:30:00.000+1100,24
2020-02-15T08:00:00.000+1100,23
2020-02-15T08:30:00.000+1100,7
2020-02-15T09:00:00.000+1100,30
2020-02-15T09:30:00.000+1100,10
2020-02-15T10:00:00.000+1100,95
2020-02-15T10:30:00.000+1100,6
2020-02-15T11:00:00.000+1100,4
2020-02-15T11:30:00.000+1100,15
